Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1500]	Bin4[1500,1800]	Bin5[1800,8000]
4000N500_S/sqrtB	0.0002	0.0000	0.0002	0.0002	0.0006
4000N700_Signal	0.0054	0.0021	0.0019	0.0010	0.0140
4000N700_S/sqrtB	0.0002	0.0001	0.0001	0.0001	0.0015
4000N900_Signal	0.0020	0.0034	0.0043	0.0017	0.0269
4000N900_S/sqrtB	0.0001	0.0002	0.0002	0.0002	0.0029
6000N100_Signal	0.0000	0.0001	0.0001	0.0000	0.0004
6000N100_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
6000N1100_Signal	0.0003	0.0004	0.0004	0.0003	0.0011
6000N1100_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0001
6000N1300_Signal	0.0002	0.0003	0.0001	0.0002	0.0008
6000N1300_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0001
6000N1500_Signal	0.0000	0.0001	0.0001	0.0002	0.0005
6000N1500_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0001
6000N1700_Signal	0.0001	0.0001	0.0001	0.0000	0.0005
6000N1700_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0001
6000N1900_Signal	0.0000	0.0000	0.0001	0.0000	0.0004
6000N1900_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
6000N2100_Signal	0.0000	0.0000	0.0001	0.0000	0.0003
6000N2100_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
6000N2300_Signal	0.0000	0.0000	0.0000	0.0000	0.0003
6000N2300_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
6000N2500_Signal	0.0000	0.0000	0.0000	0.0000	0.0003
6000N2500_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
6000N2700_Signal	0.0000	0.0000	0.0000	0.0000	0.0002
6000N2700_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
6000N2900_Signal	0.0000	0.0000	0.0000	0.0000	0.0002
6000N2900_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
6000N300_Signal	0.0003	0.0002	0.0001	0.0001	0.0001
6000N300_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
6000N3100_Signal	0.0000	0.0000	0.0000	0.0000	0.0002
6000N3100_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
6000N3300_Signal	0.0000	0.0000	0.0000	0.0000	0.0001
6000N3300_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
6000N3500_Signal	0.0000	0.0000	0.0000	0.0000	0.0002
6000N3500_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
6000N3700_Signal	0.0000	0.0000	0.0000	0.0000	0.0001
6000N3700_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
6000N3900_Signal	0.0000	0.0000	0.0000	0.0000	0.0002
6000N3900_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
6000N4100_Signal	0.0000	0.0000	0.0000	0.0000	0.0002
6000N4100_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
6000N4300_Signal	0.0000	0.0000	0.0000	0.0000	0.0001
6000N4300_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
6000N4500_Signal	0.0000	0.0000	0.0000	0.0000	0.0001
6000N4500_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
6000N4700_Signal	0.0000	0.0000	0.0000	0.0000	0.0001
6000N4700_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
6000N4900_Signal	0.0000	0.0000	0.0000	0.0000	0.0001
6000N4900_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
6000N500_Signal	0.0006	0.0005	0.0004	0.0001	0.0005
6000N500_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0001
6000N5100_Signal	0.0000	0.0000	0.0000	0.0000	0.0001
6000N5100_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
6000N5300_Signal	0.0000	0.0000	0.0000	0.0000	0.0001
6000N5300_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
6000N5500_Signal	0.0000	0.0000	0.0000	0.0000	0.0001
6000N5500_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
6000N5700_Signal	0.0000	0.0000	0.0000	0.0000	0.0001
6000N5700_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
6000N5900_Signal	0.0000	0.0000	0.0000	0.0000	0.0000
6000N5900_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
6000N700_Signal	0.0005	0.0007	0.0005	0.0005	0.0006
6000N700_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0001
6000N900_Signal	0.0005	0.0004	0.0003	0.0007	0.0011
6000N900_S/sqrtB	0.0000	0.0000	0.0000	0.0001	0.0001
8000N100_Signal	0.0000	0.0000	0.0000	0.0000	0.0001
8000N100_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
8000N3900_Signal	0.0000	0.0000	0.0000	0.0000	0.0000
8000N3900_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0000
